KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
AIR PUTIH,11257,12959,24216
SEI BALAI,6451,7252,13703
PEGAJAHAN,5846,8612,14458
PORTIBI,10348,1955,12303
SEI SUKA,13961,12921,26882
SIMANGAMBAT,12475,13490,25965
DOLOK,9196,2746,11942
DOLOK SIGOMPULON,5245,2407,7652
SOSOPAN,3501,1262,4763
PADANG BOLAK JULU,3887,1054,4941
TANJUNG TIRAM,10275,13665,23940
PERBAUNGAN,28203,21630,49833
HALONGONAN,10677,5694,16371
LIMA PULUH,18101,22403,40504
ULU BARUMUN,4212,1738,5950
HUTA RAJA TINGGI,10019,8416,18435
TELUK MENGKUDU,9692,9765,19457
PADANG BOLAK,24707,6380,31087
SOSA,10863,3981,14844
SIHAPAS BARUMUN,2188,432,2620
BATANG ONANG,4184,1640,5824
BARUMUN TENGAH,7043,1296,8339
SUNGAI KANAN,14780,7798,22578
BATANG LUBU SUTAM,4142,1598,5740
KOTAPINANG,14894,13122,28016
HURISTAK,5480,2539,8019
AEK NABARA BARUMUN,4731,939,5670
HULU SIHAPAS,1693,382,2075
BARUMUN SELATAN,2990,710,3700
KUALUH HULU,11924,21298,33222
MARBAU,11432,9894,21326
LAHEWA,1884,6709,8593
AEK KUO,5583,9640,15223
LUBUK BARUMUN,6099,1660,7759
ALASA,964,5926,6890
KAMPUNG RAKYAT,12712,14141,26853
BARUMUN,15495,4218,19713
AFULU,1024,3083,4107
KUALUH HILIR,4649,9288,13937
TORGAMBA,17524,29511,47035
NAMOHALU ESIWA,346,4987,5333
AEK NATAS,7817,7835,15652
SILANGKITANG,6988,9008,15996
KUALUH LEIDONG,5008,8122,13130
LAHEWA TIMUR,421,3031,3452
SAWO,639,3293,3932
LOTU,508,4498,5006
KUALUH SELATAN,11146,18706,29852
TUHEMBERUA,469,4122,4591
MEDAN LABUHAN,28948,22552,51500
MANDREHE,700,8860,9560
SITOLU ORI,523,4696,5219
ALASA TALUMUZOI,303,2070,2373
MEDAN TEMBUNG,36652,26457,63109
MEDAN TIMUR,28108,28932,57040
LAHOMI,616,4002,4618
TUGALA OYO,202,2890,3092
MEDAN MAIMUN,12801,9913,22714
LOLOFITU MOI,1197,4315,5512
MEDAN SUNGGAL,27470,24877,52347
MEDAN PERJUANGAN,25497,24598,50095
MEDAN AREA,32862,22676,55538
SIROMBU,1121,3396,4517
MANDREHE BARAT,243,2714,2957
MEDAN PETISAH,11954,22355,34309
MANDREHE UTARA,406,3086,3492
MEDAN MARELAN,39648,20964,60612
MEDAN TUNTUNGAN,12319,27223,39542
MEDAN KOTA,16439,25773,42212
MEDAN BARU,6607,12637,19244
MEDAN POLONIA,11286,12557,23843
MEDAN HELVETIA,33517,35254,68771
MEDAN DENAI,38688,28462,67150
MEDAN BELAWAN,21862,17425,39287
SIANTAR UTARA,7902,15791,23693
SIANTAR MARIMBUN,1284,7142,8426
MEDAN JOHOR,33926,27539,61465
SIANTAR BARAT,10327,9058,19385
MEDAN DELI,39353,29295,68648
SIBOLGA SELATAN,5701,6600,12301
SIANTAR SELATAN,1181,8265,9446
SIANTAR MARIHAT,1689,8070,9759
SIBOLGA UTARA,1651,7978,9629
MEDAN BARAT,19269,20754,40023
SIANTAR TIMUR,4159,14493,18652
MEDAN AMPLAS,33273,20574,53847
TANJUNG BALAI SELATAN,3993,5131,9124
MEDAN SELAYANG,19764,25578,45342
SIANTAR SITALASARI,5997,7923,13920
BINJAI BARAT,12530,7522,20052
BINJAI KOTA,8407,7482,15889
SIANTAR MARTOBA,7585,12545,20130
SIBOLGA SAMBAS,4169,4129,8298
TELUK NIBUNG,7963,5189,13152
DATUK BANDAR,6436,6972,13408
BINJAI UTARA,23149,11275,34424
